,Type,Location,Store,Lat,Long,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6
0,Countdown,Airport,Countdown Airport,-36.99736985,174.7888823,0,1,0,0,0,0
1,Countdown,Auckland City,Countdown Auckland City,-36.84496186,174.77311919999997,0,0,0,0,1,0
2,Countdown,Aviemore Drive,Countdown Aviemore Drive,-36.89887827,174.9065699,0,0,0,1,0,0
3,Countdown,Birkenhead,Countdown Birkenhead,-36.81111802,174.72487759999999,0,0,0,0,0,1
4,Countdown,Blockhouse Bay,Countdown Blockhouse Bay,-36.92291876,174.70235209999998,1,0,0,0,0,0
5,Countdown,Botany Downs,Countdown Botany Downs,-36.92972626,174.9110718,0,1,0,1,0,0
6,Countdown,Browns Bay,Countdown Browns Bay,-36.71714479,174.74727719999998,0,0,0,0,0,1
7,Countdown,Glenfield,Countdown Glenfield,-36.78148813,174.72342619999998,0,0,0,0,0,1
8,Countdown,Greenlane,Countdown Greenlane,-36.88916156,174.79350369999997,0,0,0,0,1,0
9,Countdown,Grey Lynn,Countdown Grey Lynn,-36.85144346,174.73187190000002,0,0,0,0,1,0
10,Countdown,Grey Lynn Central,Countdown Grey Lynn Central,-36.86311836,174.73856669999998,0,0,0,0,1,0
11,Countdown,Hauraki Corner,Countdown Hauraki Corner,-36.79667981,174.7781249,0,0,0,0,0,1
12,Countdown,Henderson,Countdown Henderson,-36.88089456,174.63322769999996,0,0,1,0,0,0
13,Countdown,Highland Park,Countdown Highland Park,-36.89933061,174.9084309,0,0,0,1,0,0
14,Countdown,Hobsonville,Countdown Hobsonville,-36.79748845,174.6487257,0,0,1,0,0,0
15,Countdown,Howick,Countdown Howick,-36.89585201,174.9335377,0,0,0,1,0,0
16,Countdown,Kelston,Countdown Kelston,-36.90955497,174.6638042,0,0,1,0,0,0
17,Countdown,Lincoln Road,Countdown Lincoln Road,-36.8568778,174.63251259999998,0,0,1,0,0,0
18,Countdown,Lynfield,Countdown Lynfield,-36.92514077,174.7239957,1,0,0,0,0,0
19,Countdown,Lynmall,Countdown Lynmall,-36.90687152,174.6850146,1,0,1,0,0,0
20,Countdown,Mairangi Bay,Countdown Mairangi Bay,-36.73941255,174.7540551,0,0,0,0,0,1
21,Countdown,Mangere East,Countdown Mangere East,-36.9657908,174.825346,0,1,0,0,0,0
22,Countdown,Mangere Mall,Countdown Mangere Mall,-36.96987802,174.80112019999999,0,1,0,0,0,0
